/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D8
0.019177831899999997 : [0.12441, 0.11922, 0, 0.12048, 0.10926, 0.09109, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 7, 3: 3, 4: 5, 5: 2, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 4, 'Y': 6, 'Z': 4}
0.019152035499999998 : [0.12441, 0.11922, 0, 0.12048, 0.10852, 0.09183, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 7, 3: 3, 4: 4, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 4, 'Y': 6, 'Z': 5}
0.019151251099999995 : [0.12441, 0.11922, 0, 0.12048, 0.10852, 0.09109, 0.09481, 0.12314, 0.0913] : {1: 3, 2: 7, 3: 3, 4: 4, 5: 2, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 4, 'Y': 6, 'Z': 8}
0.0191458779 : [0.12441, 0.11996, 0, 0.12048, 0.10702, 0.09259, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 5, 'Y': 6, 'Z': 2}
0.019127821899999998 : [0.12441, 0.11922, 0, 0.12048, 0.10776, 0.09259, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 7, 3: 3, 4: 4, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 5, 'Y': 6, 'Z': 4}
0.0191064655 : [0.12441, 0.11922, 0, 0.12048, 0.10702, 0.09333, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 4, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 5, 'Y': 6, 'Z': 5}
0.019103461099999997 : [0.12441, 0.11922, 0, 0.12048, 0.10702, 0.09259, 0.09481, 0.12314, 0.0913] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 5, 'Y': 6, 'Z': 8}
0.019102655499999996 : [0.12441, 0.11922, 0, 0.12048, 0.10702, 0.09183, 0.09481, 0.12314, 0.09206] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 8, 'Y': 6, 'Z': 5}
0.0190774435 : [0.12441, 0.12072, 0, 0.12048, 0.09798, 0.10087, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 2, 'Y': 6, 'Z': 4}
0.0190738471 : [0.12441, 0.12072, 0, 0.12048, 0.09724, 0.10087, 0.09555, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 2, 5: 3, 6: 3, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 2, 'Y': 6, 'Z': 6}
0.019067557099999997 : [0.12441, 0.12072, 0, 0.12048, 0.09724, 0.10087, 0.09481, 0.12314, 0.0913] : {1: 3, 2: 8, 3: 3, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 2, 'Y': 6, 'Z': 8}
0.019051715099999998 : [0.12515, 0.11922, 0, 0.12048, 0.09874, 0.10087, 0.09481, 0.12314, 0.09056] : {1: 4, 2: 7, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 4, 'Y': 6, 'Z': 1}
0.0190440339 : [0.12441, 0.11996, 0, 0.12048, 0.09874, 0.10087, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 4, 'Y': 6, 'Z': 2}
0.0190137235 : [0.12441, 0.11922, 0, 0.12048, 0.09948, 0.10087, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 7, 3: 3, 4: 4, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 4, 'Y': 6, 'Z': 4}
0.0190079071 : [0.12441, 0.11922, 0, 0.12048, 0.09874, 0.10087, 0.09555, 0.12314, 0.09056] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 3, 6: 3, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 4, 'Y': 6, 'Z': 6}
0.019001617099999996 : [0.12441, 0.11922, 0, 0.12048, 0.09874, 0.10087, 0.09481, 0.12314, 0.0913] : {1: 3, 2: 7, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 4, 'Y': 6, 'Z': 8}
0.018994327099999996 : [0.12441, 0.11922, 0, 0.12048, 0.09724, 0.10087, 0.09631, 0.12314, 0.0913] : {1: 3, 2: 7, 3: 3, 4: 2, 5: 3, 6: 3, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 5, 'W': 5, 'X': 6, 'Y': 6, 'Z': 8}
