/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D10
0.0127271515 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08862, 0.09109, 0.07507, 0.07961, 0.06401, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 5, 'Y': 8, 'Z': 9}
0.012726299500000001 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08786, 0.09109, 0.07657, 0.07961, 0.06327, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 4, 6: 2, 7: 2, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 7, 'Y': 8, 'Z': 5}
0.0127106855 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07731, 0.07961, 0.06327, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 2, 7: 3, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 7, 'Y': 8, 'Z': 7}
0.0126910015 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07657, 0.07961, 0.06401, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 7, 'Y': 8, 'Z': 9}
0.012690899500000002 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08786, 0.09109, 0.07507, 0.07961, 0.06477, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 9, 'Y': 8, 'Z': 5}
0.0126730655 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07581, 0.07961, 0.06477, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 9, 'Y': 8, 'Z': 7}
0.0126578215 : [0.09907, 0.09263, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07507, 0.07961, 0.06551, 0.09056] : {1: 4, 2: 3, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 3, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 9, 'Y': 8, 'Z': 9}
0.012571233500000003 : [0.09981, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.06749, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 5, 2: 4, 3: 4, 4: 2, 5: 3, 6: 1, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 1}
0.012563922300000002 : [0.09907, 0.09487, 0, 0.09859, 0.09372, 0.08712, 0.06749, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 5, 3: 4, 4: 2, 5: 3, 6: 1, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 2}
0.012563315500000003 : [0.09907, 0.09413, 0, 0.09859, 0.09446, 0.08712, 0.06749, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 3, 5: 3, 6: 1, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 4}
0.012553547500000003 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08786, 0.06749, 0.07507, 0.08347, 0.08301, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 4, 6: 1, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 5}
