/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D10
0.010409010592178898 : {1: 0.10696, 2: 0.09768, None: 0, 3: 0.10591, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08684, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 1, 'Y': 9, 'Z': 7}
0.01040575107741112 : {1: 0.10524, 2: 0.10024, None: 0, 3: 0.10591, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08599, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 5, 3: 4, 4: 2, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 2}
0.01040231362777921 : {1: 0.10524, 2: 0.0994, None: 0, 3: 0.10591, 4: 0.09822, 5: 0.10189, 6: 0.1089, 7: 0.08599, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 3, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 4}
0.010383028952725614 : {1: 0.10524, 2: 0.0994, None: 0, 3: 0.10591, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08684, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 2, 'Y': 9, 'Z': 7}
0.010381966067475252 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.10591, 4: 0.09909, 5: 0.10189, 6: 0.1089, 7: 0.08684, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 3, 3: 4, 4: 3, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 4, 'Y': 9, 'Z': 7}
0.010375502150508238 : {1: 0.10609, 2: 0.09768, None: 0, 3: 0.10591, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08771, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 7, 'Y': 9, 'Z': 1}
0.010362684541711286 : {1: 0.10524, 2: 0.09853, None: 0, 3: 0.10591, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08771, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 7, 'Y': 9, 'Z': 2}
0.010362160184987774 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.10591, 4: 0.09822, 5: 0.10189, 6: 0.1089, 7: 0.08771, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 3, 3: 4, 4: 3, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 7, 'Y': 9, 'Z': 4}
0.010345788602842574 : {1: 0.10524, 2: 0.09768, None: 0, 3: 0.10591, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08856, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 3, 3: 4, 4: 2, 5: 2, 6: 2, 7: 3, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 3, 'W': 8, 'X': 7, 'Y': 9, 'Z': 7}
0.010249226658830839 : {1: 0.1078, 2: 0.09768, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 6, 2: 3, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 1, 'Y': 9, 'Z': 1}
0.010233495957125487 : {1: 0.10696, 2: 0.09853, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.0972, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 7, 'W': 8, 'X': 1, 'Y': 9, 'Z': 2}
