/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D8
0.00021642469999999972 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12388, 8: 0.1118} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 8, 'Y': 8, 'Z': 7}
0.00019964150000000003 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.11254} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 4} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 8, 'Y': 8, 'Z': 8}
0.00018062990000000006 : {1: 0.12913, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.11416} : {1: 7, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 6, 'Z': 1}
0.00017786230000000011 : {1: 0.12839, 2: 0.12726, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.11416} : {1: 6, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 6, 'Z': 2}
0.0001717499000000001 : {1: 0.12839, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12313, 7: 0.12314, 8: 0.11416} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 2, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 6, 'Z': 6}
0.00015956950000000004 : {1: 0.12839, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.1149} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 6, 'Z': 8}
0.0001584595000000001 : {1: 0.12689, 2: 0.12802, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.1149} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 2, 'Y': 6, 'Z': 8}
0.0001460695 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12389, 7: 0.12314, 8: 0.1149} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 6, 'Y': 6, 'Z': 8}
0.00014021990000000003 : {1: 0.12763, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.11566} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 8, 'Y': 6, 'Z': 1}
0.00013967230000000008 : {1: 0.12689, 2: 0.12726, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.11566} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 8, 'Y': 6, 'Z': 2}
0.00013355990000000006 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12313, 7: 0.12314, 8: 0.11566} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 8, 'Y': 6, 'Z': 6}
0.0001235995 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.1164} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 4} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 8, 'X': 8, 'Y': 6, 'Z': 8}
0.00011532829999999986 : {1: 0.12763, 2: 0.11824, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.12008} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 8, 'W': 6, 'X': 2, 'Y': 8, 'Z': 1}
0.00010252630000000004 : {1: 0.12689, 2: 0.11898, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.12008} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 8, 'W': 6, 'X': 2, 'Y': 8, 'Z': 2}
9.74950999999998e-05 : {1: 0.12763, 2: 0.11824, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.12394} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 8, 'W': 8, 'X': 2, 'Y': 6, 'Z': 1}
8.469309999999998e-05 : {1: 0.12689, 2: 0.11898, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.12394} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 8, 'W': 8, 'X': 2, 'Y': 6, 'Z': 2}
8.469309999999998e-05 : {1: 0.12689, 2: 0.11898, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 8: 0.12314, 7: 0.12394} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 8, 'S': 8, 'T': 7, 'U': 6, 'V': 7, 'W': 7, 'X': 2, 'Y': 6, 'Z': 2}
8.145909999999974e-05 : {1: 0.12668, 2: 0.11919, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.12394} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 8, 'W': 8, 'X': 2, 'Y': 6, 'Z': 1}
7.14690999999999e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 7: 0.12314, 8: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 8, 'W': 8, 'X': 2, 'Y': 6, 'Z': 2}
7.14690999999999e-05 : {1: 0.12594, 2: 0.11993, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12239, 8: 0.12314, 7: 0.12394} : {1: 4, 2: 8, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 2, 'R': 8, 'S': 8, 'T': 7, 'U': 6, 'V': 7, 'W': 7, 'X': 2, 'Y': 6, 'Z': 2}
